fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,7,1,735.262,712.2731061218,8.71714410765735,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",22.9897692809,-0.444471086946689,C=C1C(OC(C)=O)C(OC(=O)c2ccccc2)C(=O)C(C)(C)C=CC(C)C(=O)C2(OC(C)=O)CC(C)(OC(C)=O)C(OC(C)=O)C2C1OC(C)=O,C37H44O14<br>[M+Na]+
2,7,2,263.139191,265.1592402962,9.0,1,"0,1,7,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29",-2.0156500642,-14.6334416600408,C=CCC(CC(C)(C)C=CCC)OCc1ccccc1,C19H21O<br>[X-2H]+
3,7,2,263.142426,265.1592402962,9.0,1,"0,1,7,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29",-2.0156500642,-2.33953912073065,C=CCC(CC(C)(C)C=CCC)OCc1ccccc1,C19H21O<br>[X-2H]+
4,7,2,263.14566,265.1592402962,9.0,1,"0,1,7,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29",-2.0156500642,9.95026100779855,C=CCC(CC(C)(C)C=CCC)OCc1ccccc1,C19H21O<br>[X-2H]+
5,7,2,281.141937,279.1232487204,5.0,1,"26,27,28,29,30,31,36,37,38,39,40,41,42,43,44,45,46,47,48,49",2.0156500642,12.7580233612307,C=CC(C)C(=O)C1CC(OC(C)=O)C(C)(C1)OC(C)=O,C15H19O5<br>[X+2H]+
6,7,2,281.149048,281.1541549183,7.0,1,"0,1,7,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,50",0.0,-16.2131735190152,C=CCC(OCc1ccccc1)C(=O)C(C)(C)C=CCC,C19H21O2<br>[X]+
7,7,2,281.152618,281.1541549183,7.0,1,"0,1,7,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,50",0.0,-3.51523776280543,C=CCC(OCc1ccccc1)C(=O)C(C)(C)C=CCC,C19H21O2<br>[X]+
8,7,2,281.156189,281.1541549183,7.0,1,"0,1,7,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,50",0.0,9.18593223661935,C=CCC(OCc1ccccc1)C(=O)C(C)(C)C=CCC,C19H21O2<br>[X]+
9,7,2,291.132996,294.1619799504,8.0,1,"0,1,2,7,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",-3.0234750963,-17.0377599520108,C=C(C)CC(CC(C)(C)C=CCC)OC(=O)c1ccccc1,C20H22O2<br>[X-3H]+
10,7,2,291.136749,294.1619799504,8.0,1,"0,1,2,7,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",-3.0234750963,-4.14669087323043,C=C(C)CC(CC(C)(C)C=CCC)OC(=O)c1ccccc1,C20H22O2<br>[X-3H]+
