fragid,molid,scanid,mz,mass,score,parentfragid,atoms,deltah,deltappm,smiles,formula
1,3,1,533.371,534.3781207363,3.53122892094573,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37",-1.0078250321,0.291909008936816,CCC(C)C=CC=CCC(C)CC(C)C=CC=CC(O)C(CO)C(=O)NC(CCCCNC(=N)N)C(=O)O,C29H50N4O5<br>[M-H]-
2,3,2,145.098465,144.0898776398,2.0,1,"25,26,27,28,29,30,31,35,36,37",1.0078250321,1.47298663700613,NCCCCC(N)C(=O)O,C6H12N2O2<br>[X+H]-
3,3,2,155.116806,154.1106130819,6.0,1,"20,21,23,24,25,26,27,28,29,30,31",1.0078250321,-14.0585282550806,CCC(=O)NCCCCCN,C8H14N2O<br>[X+H]-
4,3,2,168.116165,168.1150297578,4.0,1,"11,12,13,14,15,16,17,18,19,20,21,22",0.0,3.48950500969879,CC(C)C=CC=CC(O)CCO,C10H16O2<br>[X]-
5,3,2,170.080612,169.0738932246,3.0,1,"14,15,16,17,18,19,20,21,22,23,24,25",1.0078250321,-9.72983740178196,C=CC=CC(O)C(CO)C(N)=O,C8H11NO3<br>[X+H]-
6,3,2,185.131561,188.156500642,4.0,1,"4,5,6,7,8,9,10,11,12,13,14,15,16,17",-3.0234750963,-10.8741356096815,C=CC=CCC(C)CC(C)C=CC=C,C14H20<br>[X-3H]-
7,3,2,187.119125,187.1195007465,1.0,1,"25,26,27,28,29,30,31,32,33,34,35,36,37",0.0,-4.93988254822297,N=C(N)NCCCCC(N)C(=O)O,C7H15N4O2<br>[X]-
8,3,2,199.123093,198.1116757144,3.0,1,"23,24,25,26,27,28,29,30,31,32,33,34,35,37",1.0078250321,15.2852863731722,N=C(N)NCCCCC(C=O)NC=O,C8H14N4O2<br>[X+H]-
9,3,2,217.122116,216.1110070124,3.0,1,"20,21,22,23,24,25,26,27,28,29,30,31,35,36,37",1.0078250321,12.5982352716759,NCCCCC(NC(=O)CCO)C(=O)O,C9H16N2O4<br>[X+H]-
10,3,2,224.104813,226.1191663955,4.0,1,"20,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37",-2.0156500642,3.3380304957384,CCC(=O)NC(CCCCNC=N)C(=O)O,C10H16N3O3<br>[X-2H]-
11,3,2,229.131302,228.1222404007,4.0,1,"20,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37",1.0078250321,3.00250203282355,CC(=O)NC(CCCCNC(=N)N)C(=O)O,C9H16N4O3<br>[X+H]-
12,3,2,229.152985,227.1395674866,5.0,1,"16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",2.0156500642,-12.136655343975,C=CC(O)C(CO)C(=O)NCCCCCN,C11H19N2O3<br>[X+2H]-
13,3,2,241.129791,242.1378904649,3.0,1,"20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37",-1.0078250321,-3.41323565441781,N=C(N)NCCCCC(C=O)NC(=O)CCO,C10H18N4O3<br>[X-H]-
14,3,2,242.111496,243.1219060497,3.0,1,"20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37",-1.0078250321,-12.9428699247389,N=CNCCCCC(NC(=O)CCO)C(=O)O,C10H17N3O4<br>[X-H]-
15,3,2,259.141724,259.1406301191,2.0,1,"20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37",0.0,2.10418025946137,N=C(N)NCCCCC(NC(=O)CCO)C(=O)O,C10H19N4O4<br>[X]-
16,3,2,503.370056,502.3644820448,3.0,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,34,35,36,37",1.0078250321,-5.56186619876769,CCC(C)C=CC=CCC(C)CC(C)C=CC=CC(O)C(CO)CNC(CCCCNC=N)C(=O)O,C29H48N3O4<br>[X+H]-
17,3,2,533.367676,534.3781207363,0.0,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37",-1.0078250321,-5.94018787148041,CCC(C)C=CC=CCC(C)CC(C)C=CC=CC(O)C(CO)C(=O)NC(CCCCNC(=N)N)C(=O)O,C29H50N4O5<br>[X-H]-
